Expt,MCstrain,Prey,Light,Fed,Rep,ExptDay,MC_cellspmL,Prey_cellspmL,corr_chl_p_cell,FIReTimestamp,FvFm,Fm,Pmax,a,Pmax.err,Pmax.pvalue,a.err,a.pvalue,E_K,ETR_I,Ct_crypto,crypto_qPCR_run,crypto_count,Ct_meso,meso_qPCR_run,meso_count,est_meso,Ct_rawratio,PlastidCount,cryptos_per_est_meso
,1802,RS,100,Y,A,4,4975,228.57,14.70282734,54074,0.391,18613,76.86592238,1.252063571,,,,,61.39138951,71.17,23.58,RS Run 2 16 May,127855.6722,21.38,MC Run 6 16 May,33893.77952,9950,1.102899906,3.772245942,12.84982
,1802,RS,100,Y,A,6,8250,16.67,7.850064439,53557,0.33,17800,69.35229915,1.208053826,,,,,57.40828568,65.222,25.17,RS Run 2 16 May,57980.23884,21.75,MC Run 6 16 May,25674.38208,16500,1.157241379,2.258291501,3.51395
,1802,RS,100,Y,A,8,8783.33,0,6.088424658,81985,0.255,18203,88.97339309,1.130826406,,,,,78.67997477,75.989,25.26,RS Run 2 16 May,55442.14189,21.58,MC Run 6 16 May,29168.89654,17566.66667,1.170528267,1.900728121,3.1561
,1802,RS,100,Y,A,10,7700,0,4.359592058,62029,0.21,16757,62.52139807,1.033168147,,,,,60.51425243,58.095,25.53,RS Run 2 16 May,48475.24358,22.18,MC Run 6 16 May,18591.7384,15400,1.15103697,2.607354004,3.14774
,1802,RS,100,Y,A,12,8250,0,4.370661017,58572,0.186,15119,47.79192702,1.315056076,,,,,36.34212099,47.404,26.25,RS Run 2 16 May,33884.41561,22.91,MC Run 6 16 May,10748.30545,16500,1.145787866,3.152535603,2.0536
,1802,RS,100,Y,A,14,6500,0,4.07799187,64865,0.193,17218,53.23362031,1.568540749,,,,,33.9383088,52.941,26.51,RS Run 2 16 May,29774.19306,22.03,MC Run 6 16 May,20807.50463,13000,1.203359056,1.430935308,2.29032
,1802,RS,100,Y,B,0,750,5562.5,26.22784211,62750,0.395,3122,108.1927031,1.107337118,,,,,97.70529798,83.447,28.54,RS Run 2 16 May,10848.25787,25.99,MC Run 6 16 May,1064.780282,1500,1.098114659,10.18825954,7.23217
,1802,RS,100,Y,B,1,975,5087.5,27.723,59845,0.42,5700,73.82281747,1.038228937,,,,,71.10456552,65.46,28.34,RS Run 2 16 May,11982.84661,26.32,MC Run 6 16 May,831.1511306,1950,1.07674772,14.41716935,6.14505
,1802,RS,100,Y,B,2,1975,4212.5,25.851,53864,0.454,10741,58.77020084,1.269181764,,,,,46.30558247,57.226,26.51,RS Run 2 16 May,29774.19306,25.06,MC Run 6 16 May,2140.129237,3950,1.057861133,13.91233415,7.53777
,1802,RS,100,Y,B,4,5812.5,242.86,13.42581846,54821,0.435,20314,67.00667753,1.191027526,,,,,56.25955407,63.283,23.57,RS Run 2 16 May,128493.1571,21.54,MC Run 6 16 May,30057.99446,11625,1.094243268,4.274841334,11.05317
,1802,RS,100,Y,B,6,8433.33,16.67,8.044924198,54336,0.381,16301,57.89658082,1.135883907,,,,,50.97050891,55.652,23.63,RS Run 2 16 May,124715.3759,21.09,MC Run 6 16 May,42136.64953,16866.66667,1.120436226,2.959783876,7.39419
,1802,RS,100,Y,B,8,7440,0,7.496613636,82774,0.279,16819,57.36373467,1.295023722,,,,,44.29550878,56.122,24.92,RS Run 2 16 May,65656.84352,22.45,MC Run 6 16 May,15180.98671,14880,1.110022272,4.324939135,4.41242
,1802,RS,100,Y,B,10,7033.33,0,5.728830508,62784,0.238,15848,69.29667944,0.921009941,,,,,75.2398822,60.221,24.64,RS Run 2 16 May,75467.50636,21.77,MC Run 6 16 May,25291.81521,14066.66667,1.131832797,2.9838707,5.36499
,1802,RS,100,Y,B,12,8216.67,0,4.364045296,59343,0.222,12878,41.80074218,1.338705138,,,,,31.22475666,41.663,24.27,RS Run 2 16 May,90715.18697,21.1,MC Run 6 16 May,41821.53799,16433.33333,1.150236967,2.169102126,5.52019
,1802,RS,100,Y,B,14,6316.67,0,4.139,65840,0.215,16581,48.14736007,1.350809338,,,,,35.64334263,47.797,24.24,RS Run 2 16 May,92078.87404,21.68,MC Run 6 16 May,27059.51448,12633.33333,1.118081181,3.402828018,7.28857
,1802,RS,100,Y,C,0,743.75,5437.5,23.5097907,63731,0.355,3371,83.77418631,0.91085477,,,,,91.97315433,66.674,28.6,RS Run 2 16 May,10529.31213,26.31,MC Run 6 16 May,837.4135812,1487.5,1.087039149,12.57361042,7.07853
,1802,RS,100,Y,C,1,743.75,4612.5,28.17778788,60682,0.325,8736,36.57656309,0.791084982,,,,,46.23594672,35.622,27,RS Run 2 16 May,23334.58062,25.58,MC Run 6 16 May,1448.505004,1487.5,1.055512119,16.10942354,15.68711
,1802,RS,100,Y,C,2,978.57,4562.5,32.81239806,54615,0.448,10743,69.75940423,1.184794118,,,,,58.87892518,65.24,25.43,RS Run 2 16 May,50947.16238,24.11,MC Run 6 16 May,4366.56571,1957.142857,1.054749067,11.66755885,26.0314
,1802,RS,100,Y,C,4,2791.67,5,13.50783333,55572,0.419,24497,49.76370347,1.092844423,,,,,45.53594495,48.547,23.93,RS Run 2 16 May,107428.6208,21.79,MC Run 6 16 May,24914.94886,5583.333333,1.098210188,4.311813818,19.24095
,1802,RS,100,Y,C,6,7933.33,16.67,8.468230769,55100,0.36,18227,57.34087145,1.046915761,,,,,54.77123717,54.44,23.61,RS Run 2 16 May,125962.1312,21.66,MC Run 6 16 May,27468.81978,15866.66667,1.090027701,4.585640454,7.93879
,1802,RS,100,Y,C,8,7562.5,0,7.403288288,83576,0.283,15579,65.26984612,1.070982944,,,,,60.94387075,60.544,24.54,RS Run 2 16 May,79315.85315,21.42,MC Run 6 16 May,32891.22132,15125,1.145658263,2.411459653,5.24402
,1802,RS,100,Y,C,10,7466.67,0,4.7796875,63568,0.243,14936,72.97443122,0.906402011,,,,,80.51000589,61.74,25.51,RS Run 2 16 May,48959.84114,22.35,MC Run 6 16 May,16364.39674,14933.33333,1.141387025,2.991851269,3.27856
,1802,RS,100,Y,C,12,7616.67,0,4.560142857,60128,0.231,12279,41.08798346,1.266663594,,,,,32.43796037,40.916,24.78,RS Run 2 16 May,70391.46437,21.61,MC Run 6 16 May,28519.37475,15233.33333,1.146691347,2.468198022,4.62088
,1802,RS,100,Y,C,14,5850,0,4.613877193,66809,0.236,20024,48.48818987,1.388777086,,,,,34.91430723,48.174,25.28,RS Run 2 16 May,54893.38344,21.83,MC Run 6 16 May,24177.97922,11700,1.158039395,2.270387568,4.69174
29,1802,CM,100,N,A,0,800,0,6.2201875,71865,0.328,6240,93.44594838,1.013776727,2.595802032,3.17E-18,0.045455618,1.46E-14,92.17606395,74.2897072,35.06,CM Run 2 16 May,202.628253,29.18,MC Run 8 16 May,97.12253289,1600,1.201507882,2.086315574,0.12664
29,1802,CM,100,N,A,1,507.14,0,7.693774648,69070,0.278,4871,84.80807096,0.817630286,4.57651376,3.58E-13,0.059979556,6.32E-11,103.7242289,63.27511898,35.59,CM Run 2 16 May,139.6529133,30.86,MC Run 8 16 May,27.51946585,1014.285714,1.153272845,5.074695639,0.13769
29,1802,CM,100,N,A,2,492.86,178.57,7.312275362,63837,0.194,5616,68.81696208,0.972672454,2.726483051,1.68E-15,0.086481139,1.42E-09,70.75039681,61.12447175,32.38,CM Run 2 16 May,1330.760802,26.04,MC Run 8 16 May,1025.557465,985.7142857,1.243471582,1.2975975,1.35005
29,1802,CM,100,N,A,4,450,507.14,6.692444444,73521,0.189,3932,139.4052714,0.926392336,11.99622284,8.45E-10,0.058166462,4.71E-12,150.4818919,81.04623655,32.17,CM Run 2 16 May,1542.233029,25.53,MC Run 8 16 May,1503.903604,900,1.260086173,1.025486624,1.71359
29,1802,CM,100,N,A,6,428.57,0,5.769333333,71162,0.148,3066,98.66929111,0.989974344,5.015152578,1.28E-13,0.072607314,6.29E-11,99.66853358,75.28341855,35.37,CM Run 2 16 May,162.9858869,28.49,MC Run 8 16 May,163.0271739,857.1428571,1.241488241,0.999746748,0.19015
29,1802,CM,100,N,A,8,650,0,3.164923077,71487,0.124,2173,109.6360432,0.972470667,13.72523999,2.50E-07,0.145373932,2.83E-06,112.7396917,77.8315416,35.32,CM Run 2 16 May,168.8107114,28.29,MC Run 8 16 May,189.434903,1300,1.248497702,0.891127816,0.12985
29,1802,CM,100,N,A,10,414.29,0,2.823258621,76154,0.144,1470,NA,NA,NA,NA,NA,NA,NA,NA,34.41,CM Run 2 16 May,319.8526844,28.09,MC Run 8 16 May,220.1202513,828.5714286,1.2249911,1.453081588,0.38603
29,1802,CM,100,N,A,12,300,0,3.156333333,76517,0.099,1045,162.5809657,1.372235939,17.20005969,3.51E-08,0.144691457,3.35E-08,118.4788716,111.84578,34.86,CM Run 2 16 May,233.1846723,28.76,MC Run 8 16 May,133.1189857,600,1.212100139,1.751701089,0.38864
29,1802,CM,100,N,A,14,178.57,0,4.675,14526,0.115,1060,NA,NA,NA,NA,NA,NA,NA,NA,33.24,CM Run 2 16 May,727.4447267,26.13,MC Run 8 16 May,958.5615401,357.1428571,1.272101033,0.758892044,2.03685
29,1802,CM,100,N,B,0,814.29,0,6.518087719,72780,0.34,5280,109.7480026,0.840228467,7.629523701,2.59E-11,0.054664551,8.56E-12,130.6168582,70.71749157,34.49,CM Run 2 16 May,302.3778676,28.87,MC Run 8 16 May,122.5688186,1628.571429,1.194665743,2.467004831,0.18567
29,1802,CM,100,N,B,1,664.29,0,6.066870968,69838,0.29,4744,83.21027159,1.003867889,3.009973103,3.39E-16,0.06753414,1.50E-11,82.8896636,69.53077767,33.13,CM Run 2 16 May,785.8687148,27.81,MC Run 8 16 May,271.6064005,1328.571429,1.191298094,2.893410146,0.59151
29,1802,CM,100,N,B,2,764.29,0,6.051317757,64760,0.251,4377,70.76373645,0.810983728,3.50839535,8.32E-14,0.069935885,8.74E-10,87.25666625,57.77430081,33.32,CM Run 2 16 May,687.7015449,27.26,MC Run 8 16 May,410.4308528,1528.571429,1.222303742,1.675560061,0.4499
29,1802,CM,100,N,B,4,664.29,35.71,4.730473118,74334,0.181,4719,101.2260933,0.716802663,11.81197139,9.08E-08,0.068345132,4.27E-09,141.2189135,61.69698608,33.42,CM Run 2 16 May,641.0619496,27.31,MC Run 8 16 May,395.3120019,1328.571429,1.223727572,1.62166073,0.48252
29,1802,CM,100,N,B,6,664.29,0,4.251387097,72629,0.128,3952,55.73847103,0.620710457,5.577230761,9.01E-09,0.103928334,1.19E-05,89.7978605,44.8881733,30.99,CM Run 2 16 May,3532.238338,26.71,MC Run 8 16 May,620.2117646,1328.571429,1.160239611,5.695213377,2.65867
29,1802,CM,100,N,B,8,521.43,0,3.68560274,72257,0.122,2233,222.0221426,1.245356709,41.09169139,3.91E-05,0.123141906,7.51E-09,178.2799587,112.9329866,32.57,CM Run 2 16 May,1164.528174,26.09,MC Run 8 16 May,987.7794801,1042.857143,1.248371023,1.178935377,1.11667
29,1802,CM,100,N,B,10,392.86,0,3.353272727,76926,0.127,1665,NA,NA,NA,NA,NA,NA,NA,NA,33.51,CM Run 2 16 May,601.7969745,26.47,MC Run 8 16 May,742.642843,785.7142857,1.265961466,0.810345081,0.76592
29,1802,CM,100,N,B,12,257.14,0,3.528555556,77235,0.151,1156,129.7500733,0.649440965,37.29812049,0.002680344,0.080416763,2.14E-07,199.7873252,60.01403367,33.48,CM Run 2 16 May,614.6105347,27.3,MC Run 8 16 May,398.2905479,514.2857143,1.226373626,1.543121066,1.19508
29,1802,CM,100,N,B,14,242.86,0,2.785205882,15326,0.184,777,171.0661084,0.746066589,74.13469446,0.033121002,0.106869924,1.61E-06,229.2906705,70.21058073,33.04,CM Run 2 16 May,837.1436744,25.64,MC Run 8 16 May,1384.713735,485.7142857,1.288611544,0.604560822,1.72353
29,1802,CM,100,N,C,0,764.29,0,6.796457944,73936,0.337,6172,126.2168974,0.933727329,6.432092925,1.34E-13,0.041973352,1.52E-14,135.1753274,79.39196928,34.92,CM Run 2 16 May,223.5630367,29.71,MC Run 8 16 May,65.24391301,1528.571429,1.175361831,3.426573091,0.14626
29,1802,CM,100,N,C,1,700,0,5.900142857,70603,0.29,5382,92.14088336,0.959701055,3.960783047,6.98E-15,0.062858567,9.58E-12,96.00998439,71.73192595,35.61,CM Run 2 16 May,137.7050921,29.03,MC Run 8 16 May,108.6976112,1400,1.226662074,1.266864014,0.09836
29,1802,CM,100,N,C,2,664.29,221.4285714,6.01644086,65539,0.264,5199,70.02122274,0.863656583,3.211289529,2.16E-14,0.075750902,1.15E-09,81.07530715,59.06771979,33.5,CM Run 2 16 May,606.0382005,27.47,MC Run 8 16 May,350.574239,1328.571429,1.219512195,1.728701465,0.45616
29,1802,CM,100,N,C,4,700,0,5.134428571,75279,0.176,4400,110.3071514,0.859922497,12.05255514,3.43E-08,0.090686488,2.01E-08,128.2756897,71.97104456,35.14,CM Run 2 16 May,191.5578703,29.11,MC Run 8 16 May,102.3622916,1400,1.207145311,1.871371452,0.13683
29,1802,CM,100,N,C,6,542.86,0,4.625631579,73818,0.14,3051,69.29338598,0.921929258,4.167125295,2.27E-12,0.116188934,2.75E-07,75.16128311,60.24122383,35.65,CM Run 2 16 May,133.8905729,28.48,MC Run 8 16 May,164.25553,1085.714286,1.251755618,0.815135861,0.12332
29,1802,CM,100,N,C,8,392.86,0,4.035454545,73094,0.113,2651,53.56494294,0.68343471,3.524543871,1.61E-10,0.073166649,1.22E-07,78.37609376,45.81883597,35.04,CM Run 2 16 May,205.4944041,27.95,MC Run 8 16 May,244.5118998,785.7142857,1.253667263,0.840427007,0.26154
29,1802,CM,100,N,C,10,457.14,0,2.645109375,77693,0.059,2387,149.8684936,1.113552604,18956.40136,0.936290954,0.128479553,7.69E-08,1379.865261,111.1607223,34.04,CM Run 2 16 May,414.7629932,28.18,MC Run 8 16 May,205.740599,914.2857143,1.2079489,2.015951131,0.45365
29,1802,CM,100,N,C,12,292.86,0,3.039219512,78016,0.121,1158,147.8684936,1.139848368,21.9939088,2.65E-06,0.172528186,3.33E-06,129.7264599,95.73376585,34.56,CM Run 2 16 May,287.8723811,27.41,MC Run 8 16 May,366.7245632,585.7142857,1.260853703,0.784982545,0.49149
29,1802,CM,100,N,C,14,242.86,0,2.371382353,16137,0.172,811,184.7105167,1.780515719,89.75461338,0.000444445,0.153993199,9.16E-10,216.0669027,166.3409344,33.67,CM Run 2 16 May,537.8361631,26.5,MC Run 8 16 May,726.1059574,485.7142857,1.270566038,0.740713057,1.10731
29,1802,CM,100,Y,A,0,321.43,4950,9.650478261,63860,0.338,1955,108.6458559,0.80418213,7.549653635,2.57E-11,0.049340249,3.19E-12,135.1010571,68.36626558,37.8,CM Run 2 16 May,29.58012467,31.96,MC Run 8 16 May,12.05146933,642.8571429,1.182728411,2.454482839,0.04601
29,1802,CM,100,Y,A,1,342.86,6933.33,16.58038462,64345,0.323,2287,145.4876863,0.966075792,11.24940244,1.50E-10,0.05442914,7.48E-13,150.5965551,84.5336323,31.43,CM Run 2 16 May,2593.283519,27.67,MC Run 8 16 May,301.703258,685.7142857,1.135887243,8.595477345,3.78187
29,1802,CM,100,Y,A,2,557.14,18350,22.06602703,58804,0.394,4645,104.460398,1.176734504,3.757582594,3.07E-16,0.071944158,3.00E-12,88.77142431,84.59350064,29,CM Run 2 16 May,14288.93959,24.82,MC Run 8 16 May,2562.595151,1114.285714,1.168412571,5.575964499,12.82341
